"Period","Region","Age.Range","Gender","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2019-09-01","Madeira","7","F",580,15.9826383590675,48,76.1507649476773,130.59999999,42.8850486753686,425.3,12.3021001368011,209.96,5.42359635502276,33.6,105.369958275382,687,22.8395912500738,0,6.30057689657209,9,"1"
"2019-09-01","Norte","7","F",340.214285714286,14.39293598234,50,34.6548241031,137,47.3947172117713,265.1,13.2010099401927,113.09,NA,NA,563.897560843205,1375.99999,14.6935348446683,0.727679820878813,2.32297788972852,9,"1"
"2019-09-01","Algarve","1","M",6.25,18.9974999964444,54.1,58.5273991615855,115.4,12.0923504834353,68.59999999,1.22573018011127,24.1,7.01529411382353,19.3,NA,NA,1.13930511502424,2.05074920704364,0,9,"1"
"2019-09-01","Centro","1","M",6.18518518518519,22.5833333333333,1000,43.6185944363104,137,20.205710102489,209,4.33601756954612,81,7.31346153846154,30,198.892647,5852.99999,2.4808299503834,2.21019395579612,0,9,"1"
"2019-09-01","LVT","1","M",14.1489361702128,21.4258863536022,69.79999999,63.2032359440508,156,33.2232481482819,603.5,7.20650594400836,263.24,9.76482446729579,27.3,230.68125,937,3.51428571428571,2.6,0.0285714285714286,9,"1"
"2019-09-01","Madeira","1","M",8,15.9826383590675,48,76.1507649476773,130.59999999,42.8850486753686,425.3,12.3021001368011,209.96,5.42359635502276,33.6,105.369958275382,687,1.57514422414302,0,0,9,"1"
"2019-09-01","Norte","1","M",13.1458333333333,14.39293598234,50,34.6548241031,137,47.3947172117713,265.1,13.2010099401927,113.09,NA,NA,563.897560843205,1375.99999,5.96137699412259,3.89028827315981,0.0839630562552477,9,"1"
"2019-09-01","Algarve","5","M",116,18.9974999964444,54.1,58.5273991615855,115.4,12.0923504834353,68.59999999,1.22573018011127,24.1,7.01529411382353,19.3,NA,NA,2.50647125305334,0.227861023004849,0.227861023004849,9,"1"
"2019-09-01","Centro","5","M",28.2222222222222,22.5833333333333,1000,43.6185944363104,137,20.205710102489,209,4.33601756954612,81,7.31346153846154,30,198.892647,5852.99999,1.75913396481732,0.63148398737032,0,9,"1"
"2019-09-01","LVT","5","M",37.6428571428571,21.4258863536022,69.79999999,63.2032359440508,156,33.2232481482819,603.5,7.20650594400836,263.24,9.76482446729579,27.3,230.68125,937,2,1.34285714285714,0,9,"1"
"2019-09-01","Madeira","5","M",25,15.9826383590675,48,76.1507649476773,130.59999999,42.8850486753686,425.3,12.3021001368011,209.96,5.42359635502276,33.6,105.369958275382,687,1.96893028017878,0,0,9,"1"
"2019-09-01","Norte","5","M",33.4666666666667,14.39293598234,50,34.6548241031,137,47.3947172117713,265.1,13.2010099401927,113.09,NA,NA,563.897560843205,1375.99999,2.85474391267842,0.923593618807725,0,9,"1"
"2019-09-01","Algarve","6","M",262,18.9974999964444,54.1,58.5273991615855,115.4,12.0923504834353,68.59999999,1.22573018011127,24.1,7.01529411382353,19.3,NA,NA,4.55722046009698,0,0.227861023004849,9,"1"
"2019-09-01","Centro","6","M",76.6363636363636,22.5833333333333,1000,43.6185944363104,137,20.205710102489,209,4.33601756954612,81,7.31346153846154,30,198.892647,5852.99999,4.23996391520072,0.85701398285972,0.2255299954894,9,"1"
"2019-09-01","LVT","6","M",153.142857142857,21.4258863536022,69.79999999,63.2032359440508,156,33.2232481482819,603.5,7.20650594400836,263.24,9.76482446729579,27.3,230.68125,937,5.14285714285714,2.82857142857143,0.342857142857143,9,"1"
"2019-09-01","Madeira","6","M",238,15.9826383590675,48,76.1507649476773,130.59999999,42.8850486753686,425.3,12.3021001368011,209.96,5.42359635502276,33.6,105.369958275382,687,8.26950717675087,0,0.393786056035756,9,"1"
"2019-09-01","Norte","6","M",182.2,14.39293598234,50,34.6548241031,137,47.3947172117713,265.1,13.2010099401927,113.09,NA,NA,563.897560843205,1375.99999,6.32521690456199,1.31542121466555,0.391827595857823,9,"1"
"2019-09-01","Algarve","7","M",926,18.9974999964444,54.1,58.5273991615855,115.4,12.0923504834353,68.59999999,1.22573018011127,24.1,7.01529411382353,19.3,NA,NA,18.0010208173831,0,6.60796966714062,9,"1"
"2019-09-01","Centro","7","M",393.75,22.5833333333333,1000,43.6185944363104,137,20.205710102489,209,4.33601756954612,81,7.31346153846154,30,198.892647,5852.99999,18.6287776274244,0.49616599007668,3.65358592692828,9,"1"
"2019-09-01","LVT","7","M",462.928571428571,21.4258863536022,69.79999999,63.2032359440508,156,33.2232481482819,603.5,7.20650594400836,263.24,9.76482446729579,27.3,230.68125,937,15.8571428571429,3.45714285714286,3.65714285714286,9,"1"
"2019-09-01","Madeira","7","M",550,15.9826383590675,48,76.1507649476773,130.59999999,42.8850486753686,425.3,12.3021001368011,209.96,5.42359635502276,33.6,105.369958275382,687,20.4768749138593,0,3.93786056035756,9,"1"
"2019-09-01","Norte","7","M",432.666666666667,14.39293598234,50,34.6548241031,137,47.3947172117713,265.1,13.2010099401927,113.09,NA,NA,563.897560843205,1375.99999,18.4998600615729,1.14749510215505,4.19815281276238,9,"1"
"2019-10-01","Algarve","1","F",7.75,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,2.05074920704364,2.05074920704364,0,10,"3"
"2019-10-01","Centro","1","F",9.68965517241379,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,3.02210193955796,2.0297699594046,0,10,"3"
"2019-10-01","LVT","1","F",16.7,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,3.68571428571429,2.68571428571429,0.0285714285714286,10,"3"
"2019-10-01","Madeira","1","F",9,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,2.75650239225029,0,0,10,"3"
"2019-10-01","Norte","1","F",8.43137254901961,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,4.61796809403862,3.38650993562832,0.0279876854184159,10,"3"
"2019-10-01","Algarve","5","F",36,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,1.36716613802909,0.683583069014547,0,10,"3"
"2019-10-01","Centro","5","F",18.6,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,1.8042399639152,1.08254397834912,0,10,"3"
"2019-10-01","LVT","5","F",31.8461538461538,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,2.54285714285714,1.17142857142857,0.0285714285714286,10,"3"
"2019-10-01","Madeira","5","F",7,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,0.787572112071512,0,0,10,"3"
"2019-10-01","Norte","5","F",27.6153846153846,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,2.91071928351525,1.25944584382872,0,10,"3"
"2019-10-01","Algarve","6","F",96,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,3.87363739108243,0.683583069014547,0,10,"3"
"2019-10-01","Centro","6","F",42.6666666666667,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,3.02210193955796,0.63148398737032,0.18042399639152,10,"3"
"2019-10-01","LVT","6","F",85,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,4,1.94285714285714,0.371428571428571,10,"3"
"2019-10-01","Madeira","6","F",120,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,5.90679084053634,0,0,10,"3"
"2019-10-01","Norte","6","F",60.7333333333333,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,4.17016512734397,1.31542121466555,0.139938427092079,10,"3"
"2019-10-01","Algarve","7","F",771,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,15.7224105873346,0,3.41791534507273,10,"3"
"2019-10-01","Centro","7","F",425.181818181818,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,21.4704555705909,0.63148398737032,3.33784393324312,10,"3"
"2019-10-01","LVT","7","F",499.214285714286,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,19.5714285714286,2.88571428571429,4.05714285714286,10,"3"
"2019-10-01","Madeira","7","F",763,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,33.0780287070035,0,4.33164661639331,10,"3"
"2019-10-01","Norte","7","F",400.785714285714,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,19.5354044220543,1.81919955219703,3.38650993562832,10,"3"
"2019-10-01","Algarve","1","M",18.5,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,4.32935943709213,2.05074920704364,0,10,"3"
"2019-10-01","Centro","1","M",11.09375,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,5.23229589535408,2.21019395579612,0,10,"3"
"2019-10-01","LVT","1","M",15.1458333333333,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,4.88571428571429,3.4,0,10,"3"
"2019-10-01","Madeira","1","M",2,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,1.18135816810727,0,0,10,"3"
