"Period","Region","Age.Range","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2017-01-01","Algarve","1",40.25,19.1209016359153,80.5,48.7811397515875,85,4.53917525360825,31.39999999,0.611752577257732,13.19999999,11.1638297863222,50,NA,NA,15.4945495643297,2.50647125305334,0,1,"4"
"2017-01-01","Centro","1",30.4590163934426,30.5219928186715,171,38.9112903225806,84,42.9139579349904,665,9.93371574251115,324,NA,NA,389.358620455172,3471,19.3053676138926,4.01443391971132,0.04510599909788,1,"4"
"2017-01-01","LVT","1",42.3394495412844,26.5105576766406,179.59999999,39.4558651647697,99.79999999,64.6741893107798,966.7,21.1272355184069,530.7,15.0240397626525,58.2,414.31362361159,2210.99999,27.2,6.25714285714286,0.171428571428571,1,"4"
"2017-01-01","Madeira","1",12.75,26.7603494587702,183.4,60.3907133205114,97.09999999,91.5075370082369,446.5,34.8103633878197,252.4,6.47184139632392,32.29999999,241.368775208614,1254,9.05707928882238,0,0,1,"4"
"2017-01-01","Norte","1",32.4339622641509,22.4101958136394,89,25.6525567219776,90,105.384005002541,965.6,38.03234042202,598.2,NA,NA,637.275265478723,3754,23.2577665827036,8.08844108592219,0.0559753708368318,1,"4"
"2017-01-01","Algarve","5",43.5,19.1209016359153,80.5,48.7811397515875,85,4.53917525360825,31.39999999,0.611752577257732,13.19999999,11.1638297863222,50,NA,NA,3.41791534507273,0.683583069014547,0.227861023004849,1,"4"
"2017-01-01","Centro","5",33.4375,30.5219928186715,171,38.9112903225806,84,42.9139579349904,665,9.93371574251115,324,NA,NA,389.358620455172,3471,4.10464591790708,0.9021199819576,0.04510599909788,1,"4"
"2017-01-01","LVT","5",45.8846153846154,26.5105576766406,179.59999999,39.4558651647697,99.79999999,64.6741893107798,966.7,21.1272355184069,530.7,15.0240397626525,58.2,414.31362361159,2210.99999,6.05714285714286,3.17142857142857,0.171428571428571,1,"4"
"2017-01-01","Madeira","5",84.5,26.7603494587702,183.4,60.3907133205114,97.09999999,91.5075370082369,446.5,34.8103633878197,252.4,6.47184139632392,32.29999999,241.368775208614,1254,9.05707928882238,0,0,1,"4"
"2017-01-01","Norte","5",42.3333333333333,22.4101958136394,89,25.6525567219776,90,105.384005002541,965.6,38.03234042202,598.2,NA,NA,637.275265478723,3754,6.88497061293031,2.2949902043101,0.0559753708368318,1,"4"
"2017-01-01","Algarve","6",236.5,19.1209016359153,80.5,48.7811397515875,85,4.53917525360825,31.39999999,0.611752577257732,13.19999999,11.1638297863222,50,NA,NA,12.076634219257,0.455722046009698,0.911444092019396,1,"4"
"2017-01-01","Centro","6",123.888888888889,30.5219928186715,171,38.9112903225806,84,42.9139579349904,665,9.93371574251115,324,NA,NA,389.358620455172,3471,11.5922417681552,1.08254397834912,0.9021199819576,1,"4"
"2017-01-01","LVT","6",190.714285714286,26.5105576766406,179.59999999,39.4558651647697,99.79999999,64.6741893107798,966.7,21.1272355184069,530.7,15.0240397626525,58.2,414.31362361159,2210.99999,16.5142857142857,6.6,1.25714285714286,1,"4"
